#            Cell,              Row,           Column,     Xcenter (cm),     Ycenter (cm)
            1592,               65,               11,           -8.574,          141.991
            1593,               65,               12,           -4.055,          141.991
            1594,               65,               13,            0.237,          141.991
            1595,               65,               14,            4.530,          141.991
            1596,               65,               15,            9.048,          141.991
            1597,               65,               16,           13.341,          141.991
            1598,               65,               17,           17.634,          141.991
            1599,               65,               18,           22.152,          141.991
            1600,               65,               19,           26.445,          141.991
            1601,               65,               20,           30.737,          141.991
            1602,               66,                0,          -52.029,          146.446
            1603,               66,                1,          -47.737,          146.446
            1604,               66,                2,          -43.444,          146.446
            1605,               66,                3,          -38.926,          146.446
            1606,               66,                4,          -34.633,          146.446
            1607,               66,                5,          -30.341,          146.446
            1608,               66,                6,          -25.822,          146.446
            1609,               66,                7,          -21.530,          146.446
            1610,               66,                8,          -17.237,          146.446
            1611,               66,                9,          -12.719,          146.446
            1612,               66,               10,           -8.426,          146.446
            1613,               66,               11,           -4.134,          146.446
            1614,               66,               12,            0.385,          146.446
            1615,               66,               13,            4.677,          146.446
            1616,               66,               14,            8.970,          146.446
            1617,               66,               15,           13.488,          146.446
            1618,               66,               16,           17.781,          146.446
            1619,               66,               17,           22.074,          146.446
            1620,               67,                0,          -52.029,          150.739
            1621,               67,                1,          -47.737,          150.739
            1622,               67,                2,          -43.444,          150.739
            1623,               67,                3,          -38.926,          150.739
            1624,               67,                4,          -34.633,          150.739
            1625,               67,                5,          -30.341,          150.739
            1626,               67,                6,          -25.822,          150.739
            1627,               67,                7,          -21.530,          150.739
            1628,               67,                8,          -17.237,          150.739
            1629,               67,                9,          -12.719,          150.739
            1630,               67,               10,           -8.426,          150.739
            1631,               67,               11,           -4.134,          150.739
            1632,               67,               12,            0.385,          150.739
            1633,               67,               13,            4.677,          150.739
            1634,               67,               14,            8.970,          150.739
            1635,               67,               15,           13.488,          150.739
            1636,               67,               16,           17.781,          150.739
            1637,               67,               17,           22.074,          150.739
            1638,               68,                0,          -52.029,          155.031
            1639,               68,                1,          -47.737,          155.031
            1640,               68,                2,          -43.444,          155.031
            1641,               68,                3,          -38.926,          155.031
            1642,               68,                4,          -34.633,          155.031
            1643,               68,                5,          -30.341,          155.031
            1644,               68,                6,          -25.822,          155.031
            1645,               68,                7,          -21.530,          155.031
            1646,               68,                8,          -17.237,          155.031
            1647,               68,                9,          -12.719,          155.031
            1648,               68,               10,           -8.426,          155.031
            1649,               68,               11,           -4.134,          155.031
            1650,               68,               12,            0.385,          155.031
            1651,               68,               13,            4.677,          155.031
            1652,               68,               14,            8.970,          155.031
            1653,               68,               15,           13.488,          155.031
            1654,               68,               16,           17.781,          155.031
            1655,               68,               17,           22.074,          155.031
